season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2005-06,SWAC,13,16,0.448,8,10,0.444,-12.48,-10.81,63.1,63.8,30,30,30,0,20,Van Holt,FALSE,2006,FALSE,FALSE,FALSE,-0.7,arkansas-pine-bluff,126.9
2004-05,SWAC,7,21,0.25,5,13,0.278,-20.71,-10.29,59.1,67.8,30,30,30,0,20,Van Holt,FALSE,2005,FALSE,FALSE,FALSE,-8.7,arkansas-pine-bluff,126.9
2003-04,SWAC,1,26,0.037,1,17,0.056,-30.69,-8.54,52.2,74.4,30,30,30,0,20,Van Holt,FALSE,2004,FALSE,FALSE,FALSE,-22.2,arkansas-pine-bluff,126.6
2002-03,SWAC,4,24,0.143,4,14,0.222,-24.22,-4.54,54.5,74.2,30,30,30,0,20,Van Holt,FALSE,2003,FALSE,FALSE,FALSE,-19.7,arkansas-pine-bluff,128.7
2001-02,SWAC,2,26,0.071,2,16,0.111,-27.49,-8.7,66.1,84.9,30,30,30,0,20,Harold Blevins,FALSE,2002,FALSE,FALSE,FALSE,-18.8,arkansas-pine-bluff,151
2000-01,SWAC,2,25,0.074,2,16,0.111,-31.2,-8.23,61.5,84.5,30,30,30,0,20,Harold Blevins,FALSE,2001,FALSE,FALSE,FALSE,-23,arkansas-pine-bluff,146
2015-16,Patriot,19,14,0.576,9,9,0.5,-7.32,-8.13,76.9,75,30,30,30,0,20,Zach Spiker,FALSE,2016,FALSE,FALSE,FALSE,1.9,army,151.9
2014-15,Patriot,15,15,0.5,6,12,0.333,-6.5,-4.98,72.1,72.1,30,30,30,0,20,Zach Spiker,FALSE,2015,FALSE,FALSE,FALSE,0,army,144.2
2013-14,Patriot,15,16,0.484,10,8,0.556,-6.16,-4.66,72.4,73.2,30,30,30,0,20,Zach Spiker,FALSE,2014,FALSE,FALSE,FALSE,-0.8,army,145.6
2012-13,Patriot,16,15,0.516,8,6,0.571,-1.48,-4.52,72.4,68.1,30,30,30,0,20,Zach Spiker,FALSE,2013,FALSE,FALSE,FALSE,4.3,army,140.5
2011-12,Patriot,12,18,0.4,5,9,0.357,-11.26,-7.16,67.6,69.7,30,30,30,0,20,Zach Spiker,FALSE,2012,FALSE,FALSE,FALSE,-2.1,army,137.3
2010-11,Patriot,11,19,0.367,3,11,0.214,-10.71,-6.58,67.9,71.4,30,30,30,0,20,Zach Spiker,FALSE,2011,FALSE,FALSE,FALSE,-3.5,army,139.3
2009-10,Patriot,14,15,0.483,4,10,0.286,-9.11,-7.96,60.3,61,30,30,30,0,20,Zach Spiker,FALSE,2010,FALSE,FALSE,FALSE,-0.7,army,121.3
2008-09,Patriot,11,19,0.367,6,8,0.429,-10.11,-7.59,58,60.8,30,30,30,0,20,Jim Crews,FALSE,2009,FALSE,FALSE,FALSE,-2.8,army,118.8
2007-08,Patriot,14,16,0.467,6,8,0.429,-8.62,-5.04,59,62.1,30,30,30,0,20,Jim Crews,FALSE,2008,FALSE,FALSE,FALSE,-3.1,army,121.1
2006-07,Patriot,15,16,0.484,4,10,0.286,-9.06,-4.52,61.2,61,30,30,30,0,20,Jim Crews,FALSE,2007,FALSE,FALSE,FALSE,0.2,army,122.2
2005-06,Patriot,5,22,0.185,1,13,0.071,-19.89,-5.69,55.2,66.3,30,30,30,0,20,Jim Crews,FALSE,2006,FALSE,FALSE,FALSE,-11.1,army,121.5
2004-05,Patriot,3,24,0.111,1,13,0.071,-20.27,-5.39,55.9,67.9,30,30,30,0,20,Jim Crews,FALSE,2005,FALSE,FALSE,FALSE,-12,army,123.8
2003-04,Patriot,6,21,0.222,3,11,0.214,-22.76,-7.72,50.5,63.3,30,30,30,0,20,Jim Crews,FALSE,2004,FALSE,FALSE,FALSE,-12.8,army,113.8
